Code,Category,Text
AD1,Advies,"Start met een positieve studiehouding in september."
AD2,Advies,"Je hebt het afgelopen jaar zeer veel vooruitgang geboekt. Blijf zo verder werken!"
AD3,Advies,"Proficiat, doe zo verder!"
AD4,Advies,"Je hebt een schitterend eindresultaat neergezet onder moeilijke omstandigheden!"
AD5,Advies,"Volg een cursus leren leren of maak gebruik van het aanbod van de huiswerkklas."
AD6,Advies,"Conform de deliberatiecriteria heeft de klassenraad beslist om een A-attest toe te kennen. Wil je volgend schooljaar slagen dan moet je de hiaten voor….. wegwerken. Volg daarom nauwgezet het(de) remediëringsplan(nen)."
AD7,Advies,"Als je volgend schooljaar in deze studierichting wil slagen, moet je het remediëringsplan voor ……………………………………………nauwgezet volgen."
AD8,Advies,"Je kan deze studierichting volgens ons wel aan op voorwaarde dat je harder werkt en interesse opbrengt voor alle vakken van deze studierichting. Indien je dit niet wenst te doen zoek je beter een studierichting die beter bij je mogelijkheden en interesses aansluit."
AD9,Advies,"Kies een studierichting die beter bij je mogelijkheden en sterktes aansluit en werk aan je studiehouding. Ga op zoek naar wat werkt voor jou qua leerstijl en structuur. Er zijn zeker trajecten die beter bij jou zullen aansluiten."
AD10,Advies,"Zit over in dezelfde studierichting en werk geconcentreerd en ernstig vanaf het begin van het schooljaar."
AD11,Advies,"We raden je aan om naar een andere onderwijsvorm (DF/AF) te gaan. Dat sluit misschien wel bij je mogelijkheden en talenten aan."
AD12,Advies,"Je keuze …………………………………. is een mogelijkheid op voorwaarde dat je bereid bent hard te werken."
AD13,Advies,"Je keuze……………………  kan maar dan zal je ernstig, grondig en altijd moeten studeren."
AD14,Advies,"Volgens de voorlopige studiekeuze wens je ……………………………….te volgen. Gelet op het onvoldoende resultaat voor ....................................... in PE1/EX1/PE2/PE3/PE4/EX2 adviseren wij om deze studierichting af te toetsen bij de vakleraren ……………………………....."
AD15,Advies,"Je behaalde voor alle vakken een voldoende of slaagde erin om ondanks enkele tekorten aan de eindtermen te voldoen."
AD16,Advies,"Je toont voldoende inzet, zelfstandigheid en leerwinst om het volgende leerjaar met vertrouwen aan te vatten."
AD17,Advies,"De globale leerresultaten zijn positief en vormen een voldoende basis voor verdere doorstroom in deze studierichting."
E1,Motivering,"De eindtermen worden niet bereikt omdat je geen regelmatige studiehouding hebt."
E2,Motivering,"De eindtermen worden niet bereikt omdat je inzet om de tekorten weg te werken via een remediëringsplan en bijlessen onvoldoende was."
E3,Motivering,"De eindtermen worden niet bereikt omdat jou een correcte studiehouding ontbreekt."
E4,Motivering,"De eindtermen worden niet bereikt omdat je geen grote leerstofdelen kan verwerken."
E5,Motivering,"De eindtermen worden niet bereikt omdat je onvoldoende gemotiveerd bent voor deze studierichting."
E6,Motivering,"De eindtermen worden niet bereikt omdat je vlug tevreden bent, je nauwkeurigheid mist en omdat je te weinig controleert."
E7,Motivering,"De eindtermen worden niet bereikt omdat je geen rekening houdt met aangereikte hulp en adviezen."
E8,Motivering,"De eindtermen worden niet bereikt omdat je weinig inzet en medewerking vertoont tijdens de lessen."
E9,Motivering,"De eindtermen worden niet bereikt omdat je weinig doorzettingsvermogen vertoont."
E10,Motivering,"De eindtermen worden niet bereikt omdat je veelvuldig ongewettigd afwezig was."
